Track_ID,Obj_Class,BBox_CX,BBox_CY,BBox_W,BBox_H,Scene_Density,Ego_Drifting,Distance_m,Approach_Speed_kmh,Lateral_Speed_vx,Vertical_Speed_vy,TTC_sec,Target_Correct,Severity,Start_Timing,End_Quality,Reward_Score
119,car,243.33,205.0,23,17,1,False,104.48,-140.18,54.95,0.0,999.0,0,3,c,1,0
152,car,337.67,173.67,79,48,2,False,32.68,96.18,-43.29,1.67,1.22,1,2,c,1,80
191,car,347.67,167.0,139,51,3,False,16.87,48.44,-46.2,19.98,1.25,1,1,a,1,70
233,car,426.33,178.0,86,40,5,False,28.24,48.63,-72.43,2.5,2.09,0,3,c,1,0
417,car,301.33,240.0,456,202,1,False,5.33,1.8,-38.3,16.65,10.64,0,3,c,1,0
477,car,303.0,237.67,439,190,1,False,5.5,1.05,-22.59,12.6,999.0,0,3,c,1,0
627,car,443.67,135.33,209,106,1,True,14.36,19.61,-61.37,59.94,2.64,0,3,c,1,0
644,car,223.0,272.67,370,174,2,False,6.53,11.55,7.49,-0.83,2.04,1,2,c,1,80
730,car,210.33,274.67,115,81,2,False,21.12,31.88,38.3,-10.82,2.38,0,3,c,1,0
779,car,448.67,217.0,69,42,5,False,36.03,227.13,-76.59,-2.0,0.57,0,3,c,1,0
826,car,398.67,212.33,40,31,6,False,59.51,-66.0,-51.2,1.25,999.0,0,3,c,1,0
898,car,546.0,211.0,48,28,7,False,51.84,250.0,-176.49,-2.5,0.56,0,3,c,1,0
924,car,535.0,206.0,56,40,8,False,43.38,246.13,-165.67,-0.83,0.63,1,2,c,1,80
940,car,502.33,230.0,234,148,7,False,10.69,28.41,-76.59,-5.83,1.35,1,2,c,1,80
1037,car,293.33,210.67,78,42,6,False,32.19,76.31,43.29,9.16,1.52,1,2,c,1,80
1177,car,440.67,237.33,330,245,1,False,7.27,-0.78,11.99,1.33,999.0,0,3,c,1,0
1238,car,228.67,190.67,178,85,4,False,14.76,151.55,13.32,33.3,0.35,0,3,c,1,0
1278,car,322.67,170.33,50,40,2,False,48.33,105.18,9.99,10.82,1.65,0,3,c,1,0
1320,car,274.67,176.33,137,62,6,False,17.65,30.62,28.31,-9.16,2.07,1,2,c,1,80
1458,car,372.0,179.67,82,32,4,False,30.14,7.82,-48.2,2.75,13.88,0,3,c,1,0
1578,car,114.67,219.0,92,43,11,False,26.68,134.73,203.13,6.66,0.71,1,2,c,1,80
1615,car,149.33,213.67,97,37,9,False,25.27,69.98,123.21,-6.66,1.3,1,1,c,1,100
1616,car,155.67,198.0,83,40,10,False,28.8,110.08,164.84,-16.65,0.94,1,1,a,1,70
1676,car,144.0,181.33,101,51,8,False,23.53,15.59,137.36,3.33,5.43,0,3,c,1,0
1709,car,112.67,185.0,99,54,7,False,24.58,250.0,173.16,5.0,0.24,1,1,a,1,70
2192,car,502.33,183.67,128,53,15,False,18.75,29.15,-148.19,-5.83,2.32,0,3,c,1,0
2202,car,129.0,221.33,90,53,14,False,27.18,62.57,185.65,-48.29,1.56,1,2,c,1,80
782,car,475.33,175.33,76,36,3,False,32.16,-3.9,-186.06,5.0,999.0,0,3,c,1,0
793,car,378.33,183.0,97,43,1,False,25.64,114.69,-28.54,3.57,0.8,0,3,c,1,0
852,car,319.33,183.0,43,31,6,False,58.12,230.41,32.47,14.99,0.91,1,2,c,1,80
2,car,421.33,227.0,369,254,1,False,7.27,1.12,-53.77,6.46,999.0,1,1,a,2,50
79,car,374.0,289.33,531,139,1,False,4.53,-0.08,0.0,-0.97,999.0,0,3,c,1,0
90,car,457.0,219.0,70,31,6,False,34.96,35.63,-71.6,8.33,3.53,1,1,a,2,50
113,car,444.33,213.0,52,25,7,False,46.17,25.43,-66.6,7.49,6.54,0,3,c,1,0
86,car,454.33,221.0,95,45,7,False,25.35,18.25,-64.1,5.83,5.0,0,3,c,1,0
130,car,109.67,255.0,116,121,5,False,23.12,250.0,301.13,29.97,0.29,1,1,a,1,70
121,car,439.0,219.0,64,28,5,False,36.93,-25.21,-56.61,5.83,999.0,0,3,c,1,0
150,car,386.67,251.0,304,129,3,False,7.97,3.05,53.28,0.0,9.41,1,1,a,1,70
169,car,337.67,269.33,518,179,1,False,4.66,1.93,20.81,-5.0,8.69,0,3,c,1,0
181,car,81.67,252.67,117,116,8,False,21.59,109.6,152.7,17.13,0.71,1,2,c,1,80
194,car,315.0,210.67,41,27,7,False,59.92,176.04,2.14,1.43,1.23,0,3,c,1,0
192,car,266.67,204.67,58,44,3,False,47.94,70.84,31.64,3.33,2.44,1,1,a,1,70
285,car,456.67,211.0,36,19,4,False,64.36,-134.71,-89.08,4.16,999.0,0,3,c,1,0
339,car,522.33,212.0,40,21,3,False,59.02,-138.74,-151.52,0.83,999.0,0,3,c,1,0
341,car,455.33,212.67,45,28,1,False,52.95,-111.67,-99.53,-0.37,999.0,0,3,c,1,0
467,car,262.33,230.0,532,230,5,False,4.8,-2.29,12.49,14.99,999.0,1,1,c,1,100
727,car,159.67,215.0,315,275,2,False,7.83,7.9,39.64,-27.07,3.57,0,3,c,1,0
928,car,238.33,227.67,428,266,2,False,5.74,16.87,97.4,-2.5,1.22,0,3,c,1,0
1051,car,163.67,205.0,263,162,4,False,9.28,45.91,38.46,39.46,0.73,1,2,c,1,80
1064,car,463.67,166.0,90,45,3,False,27.07,66.42,-175.66,20.81,1.47,1,2,c,1,80
1167,car,337.0,183.33,44,38,10,False,55.83,81.2,9.99,-1.67,2.48,0,3,c,1,0
1170,car,500.33,186.0,42,39,3,False,55.83,-78.79,-144.86,2.5,999.0,0,3,c,1,0
1432,car,422.0,181.67,21,21,7,False,109.24,-192.5,-96.57,7.49,999.0,0,3,c,1,0
1443,truck,514.67,173.33,72,62,7,False,41.29,-65.98,-151.85,8.99,999.0,0,3,c,1,0
1452,car,357.67,183.0,36,33,8,False,66.07,-101.02,-55.66,1.43,999.0,1,2,a,1,50
1428,car,449.67,192.67,32,24,8,False,71.39,-143.63,-90.74,1.67,999.0,1,2,c,1,80
1456,car,528.0,203.0,62,54,7,False,38.71,211.08,-175.66,-14.15,0.66,1,2,c,1,80
1479,car,498.67,204.0,140,119,6,False,16.98,41.18,-119.05,-23.31,1.48,0,3,c,1,0
1563,car,372.0,217.0,62,34,8,False,39.8,71.65,-85.63,4.28,2.0,0,3,c,1,0
1558,car,428.67,215.33,56,24,8,False,42.86,-3.86,-67.08,2.85,999.0,0,3,c,1,0
1559,car,447.0,214.67,70,36,6,False,34.79,20.98,-69.1,0.0,5.97,0,3,c,1,0
1562,car,445.33,213.67,62,26,7,False,39.14,17.45,-72.07,0.71,8.07,0,3,c,1,0
1568,car,449.0,218.33,69,32,5,False,34.95,24.68,-72.43,3.33,5.1,0,3,c,1,0
1581,car,449.33,212.0,44,24,6,False,56.28,22.99,-77.61,3.07,8.81,0,3,c,1,0
1589,car,447.33,214.0,62,25,8,False,38.72,21.84,-76.59,0.0,6.38,1,2,c,1,80
1596,car,443.33,195.0,124,54,3,False,19.57,62.19,-83.25,-4.16,1.13,1,2,c,1,80
1599,car,474.33,180.67,94,35,2,False,25.35,15.43,-124.88,4.16,5.92,1,2,c,1,80
1619,car,531.67,181.67,70,40,3,False,35.31,250.0,-182.89,8.45,0.48,1,2,c,1,80
1662,car,429.67,187.67,86,44,3,False,28.13,44.1,-62.44,7.49,2.3,1,2,c,1,80
1830,car,258.0,195.0,34,25,2,False,73.58,147.9,42.46,2.5,1.79,0,3,c,1,0
1851,car,147.33,189.0,63,56,3,False,38.1,23.44,135.7,2.5,5.85,0,3,c,1,0
1858,car,106.67,193.33,93,65,2,False,26.69,88.79,161.51,22.48,1.08,0,3,c,1,0
1869,car,522.67,208.0,88,52,2,False,27.7,212.31,-149.14,-8.56,0.47,1,2,c,1,80
1867,car,472.33,218.0,103,86,1,False,23.77,36.25,-59.94,14.99,2.36,0,3,c,1,0
1987,car,154.67,177.33,111,45,10,False,22.03,35.66,132.37,3.33,2.22,0,3,c,1,0
2050,car,316.67,171.33,68,50,7,False,35.47,59.74,-29.97,6.66,2.14,0,3,c,1,0
2249,car,332.0,180.0,51,34,4,False,48.68,120.47,5.0,1.67,1.45,1,2,c,1,80
2392,car,238.67,210.0,86,48,3,False,28.83,250.0,9.16,19.15,0.41,1,1,a,1,70
2589,car,290.0,140.0,429,280,1,False,5.59,0.0,0.0,0.0,999.0,0,3,c,1,0
2612,car,153.67,149.33,47,20,3,False,52.22,74.76,121.88,58.61,2.51,1,1,a,1,70
2591,car,464.0,170.0,172,72,4,False,13.9,1.54,-89.08,32.47,999.0,0,3,c,1,0
2658,car,381.0,165.0,85,71,4,False,29.95,250.0,-89.08,-0.83,0.35,0,3,c,1,0
2677,car,511.67,179.0,205,116,3,False,12.35,79.1,-123.21,8.33,0.56,1,2,c,1,80
2757,pedestrian,303.33,157.67,57,122,2,False,43.4,62.57,18.32,6.66,2.5,0,3,c,1,0
2775,pedestrian,322.33,162.33,60,118,1,False,40.69,60.34,29.97,16.65,2.43,0,3,c,1,0
2802,car,319.67,207.0,81,68,1,False,29.51,42.99,-3.33,1.67,2.47,0,3,c,1,0
2850,car,417.33,191.67,93,39,2,False,25.44,4.1,-52.45,4.16,22.36,0,3,c,1,0
2877,car,489.0,202.33,175,66,3,False,13.71,13.63,-83.25,39.96,3.62,0,3,c,1,0
2980,car,366.33,176.0,104,56,3,False,24.03,53.83,-26.64,-4.16,1.61,0,3,c,1,0
3071,car,313.67,185.67,350,83,3,False,6.9,1.47,-46.2,1.25,999.0,0,3,c,1,0
3113,car,188.0,217.0,108,50,8,False,22.57,98.3,64.1,6.66,0.83,0,3,c,1,0
3159,car,198.33,216.67,119,53,8,False,20.4,30.97,54.95,0.83,2.37,1,2,c,1,80
3214,car,342.67,227.67,317,102,3,False,7.47,-1.54,12.84,12.84,999.0,1,2,c,1,80
3342,car,166.33,215.33,328,208,1,False,7.67,9.23,40.79,-8.33,2.99,0,3,c,1,0
3433,car,565.0,228.67,61,92,5,False,42.53,250.0,-201.23,-34.25,0.38,1,2,c,1,80
3366,car,313.33,193.33,42,30,4,False,58.56,134.19,-12.49,5.83,1.57,1,2,a,1,50
3415,car,347.67,190.67,43,34,5,False,56.7,194.02,13.32,1.67,1.05,1,2,c,1,80
3950,car,207.0,196.0,185,145,2,False,13.29,34.66,54.11,44.96,1.38,0,3,c,1,0
4078,car,437.67,197.0,25,22,1,False,97.33,-68.35,-89.24,0.0,999.0,0,3,c,1,0
4110,car,365.33,217.67,114,93,3,False,21.11,3.98,-60.77,3.33,19.1,0,3,c,1,0
4197,truck,333.67,167.0,75,79,5,False,40.55,63.67,7.49,-2.5,2.29,1,2,c,1,80
4334,car,222.33,282.33,436,155,2,False,5.4,-2.96,-36.12,1.54,999.0,0,3,c,1,0
4384,car,256.33,282.0,488,158,2,False,5.0,0.88,19.53,-0.23,999.0,0,3,c,1,0
4588,car,186.67,201.0,130,69,4,False,17.8,-21.0,89.91,4.28,999.0,0,3,c,1,0
4677,car,424.0,198.67,71,56,5,False,33.81,103.28,-55.78,-5.83,1.18,1,1,a,1,70
4711,truck,130.0,178.33,211,199,4,False,14.87,45.46,108.23,10.82,1.18,1,2,c,1,80
4722,car,327.0,208.0,126,81,4,False,19.47,29.21,-65.77,3.33,2.4,0,3,c,1,0
4739,car,160.33,147.0,225,114,1,False,11.05,68.78,126.54,30.8,0.58,1,2,c,1,80
4824,car,186.67,205.0,352,230,2,False,7.22,65.23,-3.33,25.81,0.4,1,2,c,1,80
4860,car,408.0,201.67,436,317,1,False,5.43,-3.72,64.38,-7.77,999.0,1,1,a,1,70
4862,car,323.67,300.0,48,27,1,True,52.24,250.0,43.71,-3.75,0.63,1,1,a,1,70
4865,car,424.67,294.33,71,37,3,False,33.96,58.75,14.15,-2.5,2.08,0,3,c,1,0
4892,car,265.0,190.33,188,83,2,False,14.49,14.59,108.78,1.11,3.57,0,3,c,1,0
4875,car,507.0,200.33,217,185,3,False,11.2,27.53,-89.91,-8.33,1.46,0,3,c,1,0
4961,car,513.67,175.0,77,48,5,False,31.17,30.11,-179.82,0.0,3.73,0,3,c,1,0
5041,car,263.67,196.0,108,64,6,False,22.95,63.52,99.9,2.85,1.3,1,2,c,1,80
5074,car,379.0,207.33,15,12,11,False,160.0,-102.75,-49.95,0.0,999.0,0,3,c,1,0
5086,car,399.0,207.0,22,14,11,False,109.09,23.35,-44.96,0.0,16.82,0,3,c,1,0
5087,car,407.33,208.0,16,12,11,False,153.33,0.0,-45.79,0.0,999.0,0,3,c,1,0
5120,car,397.33,208.0,20,14,10,False,118.1,65.98,-46.95,1.0,6.44,0,3,c,1,0
5131,car,362.33,207.0,21,13,12,False,109.24,-51.06,-55.66,0.0,999.0,0,3,c,1,0
5093,car,100.0,176.0,152,95,5,False,16.42,169.78,164.0,22.48,0.35,0,3,c,1,0
5328,car,334.33,188.67,355,99,6,False,6.41,13.06,69.93,34.25,1.77,0,3,c,1,0
5281,car,105.33,197.67,87,43,6,False,27.48,107.23,140.69,35.8,0.92,1,2,c,1,80
5451,car,373.33,206.67,30,14,11,False,78.28,64.95,-67.43,0.0,4.34,0,3,c,1,0
5515,car,263.0,208.33,102,92,2,False,23.84,28.1,42.46,0.83,3.05,1,2,c,1,80
5652,car,77.67,196.67,47,46,8,False,57.12,250.0,228.52,-18.73,0.2,1,2,a,1,50
5889,car,353.33,205.67,88,80,3,False,27.92,40.6,5.83,0.0,2.48,1,2,c,1,80
5918,car,355.0,203.0,55,53,3,False,44.18,219.35,26.64,8.33,0.73,0,3,c,1,0
5980,car,341.33,182.33,43,31,5,False,59.66,250.0,13.32,12.49,0.52,0,3,c,1,0
1,car,499.0,202.0,60,28,5,False,40.0,-0.0,0.0,0.0,999.0,1,3,c,1,0
4,car,456.0,202.0,36,20,5,False,66.67,-0.0,0.0,0.0,999.0,1,3,c,1,0
5,pedestrian,418.0,202.0,10,21,5,False,240.0,-0.0,0.0,0.0,999.0,1,3,c,1,0
28,car,369.53,149.01,41,37,5,False,49.43,6.83,90.06,0.44,999.0,1,3,c,1,0
51,car,412.72,147.73,66,59,5,False,33.34,-0.52,69.79,1.44,999.0,1,3,c,1,0
55,car,501.68,142.96,73,32,5,False,31.65,53.65,52.67,2.61,999.0,1,3,c,1,0
26,car,327.7,147.49,55,45,5,False,39.56,-56.46,98.64,1.32,999.0,1,3,c,1,0
61,car,251.53,148.22,24,19,5,False,101.51,29.44,-4.63,-0.31,999.0,1,3,c,1,0
26,car,482.98,145.36,63,38,2,False,38.41,-8.57,93.42,-7.89,999.0,1,3,c,1,0
87,car,561.63,141.0,20,16,2,False,114.46,-2.73,14.28,0.0,999.0,1,3,c,1,0
174,car,227.83,160.28,43,20,1,False,58.25,94.44,-0.3,8.02,999.0,1,3,c,1,0
182,car,69.25,171.1,63,36,3,False,43.57,75.34,-121.13,12.54,999.0,1,3,c,1,0
183,car,166.59,161.0,27,14,3,False,93.38,16.46,-38.85,1.8,999.0,1,3,c,1,0
181,car,415.7,168.18,113,51,3,False,21.28,-0.79,-13.76,0.23,999.0,1,3,c,1,0
186,truck,321.04,179.7,368,355,1,True,8.07,0.1,1.59,7.84,999.0,1,3,c,1,0
187,car,119.39,187.12,113,75,6,False,21.85,32.19,-62.99,5.05,999.0,1,3,c,1,0
188,car,263.4,174.22,30,20,6,False,79.81,24.16,-8.73,-1.13,999.0,1,3,c,1,0
189,car,347.33,171.44,27,22,6,False,89.11,9.36,0.68,0.54,999.0,1,3,c,1,0
190,car,442.74,176.5,44,43,6,False,53.5,56.4,29.02,0.06,999.0,1,3,c,1,0
192,car,39.48,168.81,69,37,6,False,33.39,19.48,-41.57,-1.57,999.0,1,3,c,1,0
198,car,485.0,178.0,59,69,6,False,40.68,-0.0,0.0,0.0,999.0,1,3,c,1,0
188,car,230.96,181.23,46,28,6,False,51.31,10.56,0.1,0.49,999.0,1,3,c,1,0
189,car,354.02,176.12,38,33,6,False,63.23,2.24,1.47,0.66,999.0,1,3,c,1,0
205,car,259.16,176.12,21,24,6,False,113.66,15.0,0.59,0.63,999.0,1,3,c,1,0
207,car,272.47,171.03,19,29,6,False,124.36,36.38,-2.37,0.21,999.0,1,3,c,1,0
210,car,297.63,173.55,30,22,6,False,83.08,134.83,-13.43,1.98,999.0,1,3,c,1,0
218,car,279.34,170.09,26,26,4,False,93.08,40.71,0.94,-9.15,999.0,1,3,c,1,0
210,car,485.41,248.95,306,195,4,False,7.75,-0.05,1.98,-1.33,999.0,1,3,c,1,0
204,car,226.65,186.59,113,64,3,False,20.32,-0.91,-13.52,-2.49,999.0,1,3,c,1,0
189,car,352.0,176.93,36,33,3,False,65.71,-2.91,-0.0,-0.37,999.0,1,3,c,1,0
224,car,275.0,171.0,23,25,3,False,104.35,-0.0,0.0,0.0,999.0,1,3,c,1,0
230,car,439.98,169.83,93,53,1,False,25.24,-16.92,38.41,-5.85,999.0,1,3,c,1,0
230,car,506.28,198.06,188,115,1,False,12.58,-0.18,0.12,0.64,999.0,1,3,c,1,0
237,car,571.5,215.0,56,31,4,False,43.32,0.15,0.35,0.0,999.0,1,3,c,1,0
238,trafficLight-Red,321.0,140.0,11,18,4,False,218.18,-0.0,0.0,0.0,999.0,1,3,c,1,0
240,trafficLight-Yellow,356.0,142.0,8,16,4,False,300.0,-0.0,0.0,0.0,999.0,1,3,c,1,0
243,trafficLight-Red,356.0,142.0,9,17,4,False,266.67,-0.0,0.0,0.0,999.0,1,3,c,1,0
237,car,585.66,213.37,61,36,6,False,39.89,-0.0,-7.61,0.71,999.0,1,3,c,1,0
238,trafficLight-Red,320.66,131.36,10,18,6,False,239.94,0.4,-2.63,-0.84,999.0,1,3,c,1,0
240,trafficLight-Red,358.45,133.41,11,18,6,False,227.26,-49.51,-1.56,0.1,999.0,1,3,c,1,0
249,car,299.13,182.24,18,16,6,False,135.24,56.63,1.07,1.73,999.0,1,3,c,1,0
246,trafficLight-Red,397.06,134.8,10,17,6,False,262.8,-17.09,-1.83,-0.41,999.0,1,3,c,1,0
238,trafficLight-Red,207.99,101.02,11,21,5,True,219.01,-5.94,-0.02,-0.34,999.0,1,3,c,1,0
249,car,189.87,181.84,28,24,5,True,88.14,-3.41,0.62,1.66,999.0,1,3,c,1,0
268,car,616.08,212.01,45,36,5,True,51.91,3.62,-0.93,0.05,999.0,1,3,c,1,0
271,car,504.21,196.63,66,52,3,False,36.76,-52.67,-7.85,-8.6,999.0,1,3,c,1,0
285,car,140.26,185.69,31,15,3,False,81.55,2.95,0.31,-0.91,999.0,1,3,c,1,0
271,car,295.16,177.01,69,34,3,False,37.56,66.34,-187.24,-7.89,999.0,1,3,c,1,0
1,car,202.0,209.0,65,50,4,False,36.92,-0.0,0.0,0.0,999.0,1,3,c,1,0
2,car,389.0,186.0,28,19,4,False,85.71,-0.0,0.0,0.0,999.0,1,3,c,1,0
3,car,334.0,182.0,17,16,4,False,141.18,-0.0,0.0,0.0,999.0,1,3,c,1,0
4,car,244.0,184.0,15,12,4,False,160.0,-0.0,0.0,0.0,999.0,1,3,c,1,0
40,car,510.95,225.33,252,177,1,False,9.48,-0.03,-1.33,0.02,999.0,1,3,c,1,0
57,car,167.26,221.34,105,73,1,False,22.84,19.91,-65.27,6.22,999.0,1,3,c,1,0
59,car,410.31,189.16,34,24,5,False,71.21,40.23,16.61,2.38,999.0,1,3,c,1,0
58,car,335.93,179.64,18,17,5,False,131.68,-5.09,1.66,-1.0,999.0,1,3,c,1,0
63,car,228.82,180.91,18,13,5,False,136.86,133.03,-7.97,-2.55,999.0,1,3,c,1,0
81,car,387.73,181.47,19,13,5,False,135.35,10.86,1.63,-1.62,999.0,1,3,c,1,0
64,car,150.61,196.48,64,29,5,False,35.93,-1.71,2.91,-1.88,999.0,1,3,c,1,0
59,car,453.14,187.0,34,24,4,False,68.55,2.4,10.85,0.0,999.0,1,3,c,1,0
91,car,127.42,182.45,37,23,4,False,66.41,23.47,34.85,-4.95,999.0,1,3,c,1,0
84,car,375.71,178.0,15,12,4,False,142.38,-40.95,-1.21,0.0,999.0,1,3,c,1,0
101,car,607.26,225.7,65,70,4,False,37.95,0.91,-2.0,1.36,999.0,1,3,c,1,0
191,car,239.0,165.0,218,108,3,False,11.01,-0.0,0.0,0.0,999.0,1,3,c,1,0
178,car,517.0,119.0,60,43,3,False,40.0,-0.0,0.0,0.0,999.0,1,3,c,1,0
235,car,419.85,170.6,133,61,1,False,17.16,-3.48,162.7,-11.05,999.0,1,3,c,1,0
252,car,245.71,181.7,31,23,4,False,79.54,20.99,-7.18,0.6,999.0,1,3,c,1,0
260,car,296.0,178.63,17,16,4,False,141.03,21.8,0.0,-0.84,999.0,1,3,c,1,0
257,car,358.09,177.09,35,21,4,False,69.02,2.4,4.77,0.56,999.0,1,3,c,1,0
262,truck,323.0,171.0,67,27,4,False,44.78,-0.0,0.0,0.0,999.0,1,3,c,1,0
9,car,374.01,246.85,18,15,3,False,138.51,71.05,5.55,1.18,999.0,1,3,c,1,0
11,car,523.88,248.71,67,34,3,False,38.06,61.92,43.14,0.42,999.0,1,3,c,1,0
18,car,631.0,242.0,12,20,3,False,210.87,3.5,0.0,0.0,999.0,1,3,c,1,0
53,pedestrian,410.86,184.42,166,346,4,False,13.99,-0.96,32.59,8.98,999.0,1,3,c,1,0
61,pedestrian,577.61,238.93,123,238,4,False,17.28,-22.76,82.78,125.42,999.0,1,3,c,1,0
28,pedestrian,47.47,171.85,95,309,4,False,24.83,-1.67,-4.84,9.92,999.0,1,3,c,1,0
81,car,403.33,152.0,32,27,4,False,76.14,-15.84,1.43,-7.26,999.0,1,3,c,1,0
84,trafficLight-Red,412.18,64.0,17,28,4,False,143.78,20.46,-0.84,0.0,999.0,1,3,c,1,0
85,trafficLight-Red,336.74,55.86,15,30,4,False,159.86,20.92,-0.41,-0.23,999.0,1,3,c,1,0
83,car,430.34,150.88,25,20,4,False,96.23,-20.43,-8.01,-3.27,999.0,1,3,c,1,0
84,trafficLight-Red,412.0,62.98,16,28,8,False,150.14,22.49,0.0,-0.18,999.0,1,3,c,1,0
85,trafficLight-Red,337.0,55.43,14,28,8,False,171.71,-0.24,0.0,-0.14,999.0,1,3,c,1,0
93,car,294.3,139.09,25,19,8,False,94.32,63.79,4.71,-0.63,999.0,1,3,c,1,0
102,car,506.52,212.0,60,46,8,False,40.31,0.12,1.88,0.0,999.0,1,3,c,1,0
103,car,407.5,200.0,116,59,8,False,21.02,0.11,0.35,0.0,999.0,1,3,c,1,0
81,car,358.0,136.5,17,14,8,False,141.18,-0.0,0.0,0.35,999.0,1,3,c,1,0
98,car,383.0,139.0,18,15,8,False,138.02,1.51,0.0,0.0,999.0,1,3,c,1,0
84,trafficLight-Red,412.0,63.0,16,29,8,False,143.86,-7.61,-0.0,0.0,999.0,1,3,c,1,0
85,trafficLight-Red,337.0,56.01,14,30,8,False,171.43,0.0,0.0,0.03,999.0,1,3,c,1,0
93,car,269.87,153.7,31,24,8,False,78.56,3.92,-7.86,2.72,999.0,1,3,c,1,0
103,car,147.87,184.81,149,59,8,False,15.93,-0.71,-38.96,-0.67,999.0,1,3,c,1,0
90,car,211.27,151.0,31,24,8,False,77.66,0.15,-7.52,0.0,999.0,1,3,c,1,0
118,car,54.0,158.01,59,39,16,False,40.61,0.65,-0.0,0.04,999.0,1,3,c,1,0
120,car,117.05,157.03,61,42,16,False,40.0,3.27,0.63,0.11,999.0,1,3,c,1,0
121,trafficLight-Red,402.0,49.0,16,28,16,False,151.98,-4.27,0.0,0.01,999.0,1,3,c,1,0
122,trafficLight-Red,326.0,39.09,17,29,16,False,140.99,2.05,0.0,0.09,999.0,1,3,c,1,0
123,car,15.03,157.42,30,34,16,False,80.89,6.35,1.39,-0.71,999.0,1,3,c,1,0
137,car,438.6,194.2,70,56,16,False,36.87,-27.49,25.3,-10.02,999.0,1,3,c,1,0
136,car,577.55,221.14,78,65,16,False,31.64,-21.88,28.24,-7.4,999.0,1,3,c,1,0
142,car,226.03,179.32,122,50,16,False,18.97,8.22,-170.24,-3.59,999.0,1,3,c,1,0
152,pedestrian,319.11,123.91,11,21,16,False,214.22,-55.64,-0.83,-0.08,999.0,1,3,c,1,0
154,car,498.59,195.65,108,52,16,False,22.31,-18.42,-12.08,-0.43,999.0,1,3,c,1,0
156,trafficLight-Red,233.02,29.02,17,29,16,False,141.49,1.24,-0.09,-0.2,999.0,1,3,c,1,0
150,truck,174.21,141.07,75,34,16,False,40.57,8.48,2.66,-2.04,999.0,1,3,c,1,0
161,truck,193.61,143.86,144,46,16,False,21.75,1.85,-13.84,0.22,999.0,1,3,c,1,0
155,pedestrian,333.0,121.0,12,23,16,False,200.0,-0.0,0.0,0.0,999.0,1,3,c,1,0
201,truck,283.74,184.87,53,57,2,False,57.8,24.04,-6.35,-2.08,999.0,1,3,c,1,0
232,car,416.42,193.0,36,15,1,False,69.23,2.05,2.75,0.0,999.0,1,3,c,1,0
253,car,224.59,195.68,25,18,3,False,95.92,240.96,-45.94,1.96,999.0,1,3,c,1,0
257,car,94.44,196.99,23,15,3,False,118.09,41.49,-50.99,1.37,999.0,1,3,c,1,0
297,car,262.38,184.6,87,53,1,False,30.61,96.29,-12.76,7.64,999.0,1,3,c,1,0
307,car,394.82,173.81,113,69,1,False,18.79,144.58,44.33,9.08,999.0,1,3,c,1,0
321,car,140.0,160.0,38,18,1,False,63.16,-0.0,0.0,0.0,999.0,1,3,c,1,0
329,car,306.33,114.21,123,106,4,False,19.34,-5.25,1.43,-6.43,999.0,1,3,c,1,0
330,car,163.05,106.81,115,79,4,False,20.92,-3.07,5.82,-3.08,999.0,1,3,c,1,0
332,car,233.16,89.36,48,43,4,False,50.41,-6.26,0.95,-1.14,999.0,1,3,c,1,0
